customerID,Name,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_rate,Churn Score,CLTV,Churn Reason,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Age,Under 30,Married,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Score.1,Churn Category
8773-HHUOZ,Urmi Pandit,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,eSewa,1941.0,32793.0,Yes,1,74,3022,Competitor offered higher download speeds,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,20,Yes,No,No,0,None,1216.5,41,Yes,No,Yes,0.0,0,20680.499999999996,53473.49999999999,1,Churned,74,Competitor
6047-YHPVI,Gyan Rawal,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2091.0,9507.0,Yes,1,66,2454,Competitor offered higher download speeds,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,56,No,No,No,0,None,378.0,58,No,No,Yes,0.0,0,1890.0,11397.0,1,Churned,66,Competitor
5380-WJKOV,Yogendra Duwadi,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3190.5,106477.5,Yes,1,65,2941,Competitor offered higher download speeds,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,51,No,No,No,0,Offer C,650.7,28,Yes,No,Yes,0.0,0,22123.800000000003,128601.3,2,Churned,65,Competitor
8168-UQWWF,Amrita Bhandari,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,2935.5,33162.0,Yes,1,70,5674,Competitor offered more data,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,48,No,No,No,0,None,827.1,18,Yes,No,Yes,0.0,0,9098.099999999999,42260.100000000006,3,Churned,70,Competitor
7760-OYPDY,Menuka Shukla,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2419.5,4324.5,Yes,1,90,5586,Competitor offered more data,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,32,No,No,No,0,None,175.5,19,No,No,No,0.0,600,351.0,5275.5,1,Churned,90,Competitor
9420-LOJKX,Reshmi Sunwar,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2973.0,42792.0,Yes,1,82,2966,Competitor offered more data,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,34,No,No,No,0,None,118.8,20,Yes,No,Yes,0.0,0,1782.0,44574.00000000001,1,Churned,82,Competitor
7495-OOKFY,Neelu Giri,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2419.5,18999.0,Yes,1,69,5302,Competitor made better offer,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,74,No,Yes,Yes,1,Offer E,1465.5,17,No,No,Yes,0.0,0,11724.0,30722.999999999996,3,Churned,69,Competitor
1658-BYGOY,Madhav Gajmer,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,2863.5,52576.5,Yes,1,81,3179,Competitor made better offer,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,71,No,No,No,0,Offer D,339.9,52,Yes,No,Yes,1368.3,0,6118.2,57326.4,2,Churned,81,Competitor
5698-BQJOH,Parvati Shamsher,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Cash,2832.0,25717.5,Yes,1,96,5571,Price too high,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,41,No,No,No,0,None,816.3000000000001,29,Yes,No,Yes,0.0,0,7346.7,33064.200000000004,3,Churned,96,Price
5919-TMRGD,Eshita Gartola,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2380.5,2380.5,Yes,1,87,2483,Product dissatisfaction,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,32,No,No,No,0,None,393.90000000000003,57,No,No,Yes,0.0,0,393.90000000000003,2774.4,1,Churned,87,Competitor
9191-MYQKX,Munisha Khas,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2254.5,14907.0,Yes,1,70,3457,Service dissatisfaction,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,34,No,Yes,Yes,1,None,260.7,53,No,No,Yes,0.0,0,1824.8999999999999,16731.9,1,Churned,70,Dissatisfaction
8637-XJIVR,Sameera Bastola,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Cash,2368.5,27820.5,Yes,1,86,5806,Lack of self-service on Website,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,34,No,No,No,0,None,760.2,56,No,No,No,0.0,2400,9122.4,39342.9,1,Churned,86,Attitude
0278-YXOOG,Manil Lamichhane,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,eSewa,631.5,3415.5,Yes,1,66,2604,Network reliability,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,30,No,No,No,0,Offer E,1027.8,0,No,No,No,0.0,0,5138.999999999999,8554.5,3,Churned,66,Attitude
4598-XLKNJ,Nitika Limbu,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,2955.0,75435.0,Yes,1,88,5337,Limited range of services,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,78,No,Yes,Yes,1,Offer C,592.8000000000001,12,No,No,Yes,402.9,0,14820.000000000002,89852.1,2,Churned,88,Dissatisfaction
3192-NQECA,Harsha Manandhar,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,3300.0,228355.5,Yes,1,86,5034,Lack of affordable download/upload speed,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,26,Yes,Yes,Yes,4,Offer A,443.7,47,Yes,Yes,Yes,0.0,0,30171.600000000002,258527.09999999998,2,Churned,86,Competitor
0486-HECZI,Pawan Kumale,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Cash,2902.5,157167.0,Yes,1,75,5154,Long distance charges,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,37,No,Yes,No,0,None,1471.8000000000002,27,No,No,Yes,0.0,0,80949.0,238116.0,1,Churned,75,Price
4846-WHAFZ,Megha Chalise,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2295.0,86044.5,Yes,1,67,2793,Extra data charges,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,80,No,Yes,Yes,1,Offer C,189.9,14,No,No,Yes,0.0,0,7026.3,93070.8,2,Churned,67,Price
5299-RULOA,Tara Mali,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,3007.5,31939.500000000004,Yes,1,87,5998,Price too high,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,62,No,Yes,Yes,1,None,734.4,30,Yes,No,Yes,0.0,0,7344.0,39283.5,2,Churned,87,Price
0404-SWRVG,Parmesh Nepal,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2232.0,6886.5,Yes,1,76,4415,Product dissatisfaction,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,21,Yes,No,No,0,Offer E,438.0,71,Yes,No,Yes,262.2,0,1314.0,7938.3,1,Churned,76,Dissatisfaction
4412-YLTKF,Bhumi Shakya,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Cash,2341.5,64065.0,Yes,1,95,4638,Service dissatisfaction,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,72,No,No,No,0,Offer C,99.9,18,No,No,No,0.0,300,2697.2999999999997,67062.29999999999,1,Churned,95,Competitor
6207-WIOLX,Hardika Khadka,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1758.0,45079.5,Yes,1,99,4190,Lack of self-service on Website,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,27,Yes,Yes,Yes,6,Offer C,0.0,48,Yes,No,Yes,134.4,0,0.0,44945.100000000006,1,Churned,91,Attitude
3091-FYHKI,Keshab Chaturvedi,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Cash,1063.5,1063.5,Yes,1,80,2301,Network reliability,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,64,No,No,No,0,Offer E,0.0,22,Yes,No,Yes,0.0,0,0.0,1063.5,3,Churned,80,Dissatisfaction
2372-HWUHI,Gaurav Baral,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Cash,1330.5,2437.5,Yes,1,76,2570,Don't know,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,45,No,No,No,0,Offer E,1405.2,3,No,No,Yes,0.0,0,2810.4,5247.900000000001,3,Churned,76,Other
0390-DCFDQ,Gunjan Gupta,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,eSewa,2113.5,2113.5,Yes,1,76,3964,Don't know,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,76,No,Yes,Yes,1,Offer E,458.4,30,No,No,Yes,0.0,0,458.4,2571.9,2,Churned,76,Other
4080-OGPJL,Barsha Pant,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Cash,2134.5,16909.5,Yes,1,66,2662,Don't know,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,53,No,No,No,0,Offer E,1444.2,18,Yes,Yes,Yes,0.0,0,11553.6,28463.1,1,Churned,66,Other
2135-RXIHG,Mangal Dangol,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cash,1369.5,1369.5,Yes,1,73,2600,Poor expertise of online support,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,63,No,No,No,0,Offer E,423.59999999999997,24,No,No,Yes,0.0,0,423.59999999999997,1793.1000000000001,1,Churned,73,Competitor
3874-EQOEP,Tila Mishra,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,eSewa,2850.0,19665.0,Yes,1,94,2786,Poor expertise of phone support,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,32,No,No,No,0,Offer E,615.6,28,Yes,No,No,1098.0,300,4309.2,23176.199999999997,1,Churned,94,Competitor
0867-MKZVY,Nidhi Khadgi,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Cash,2472.0,47770.5,Yes,1,86,5719,Price too high,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,26,Yes,Yes,Yes,5,None,1098.0,51,Yes,No,Yes,1002.9,0,21960.0,68727.6,1,Churned,86,Price
3376-BMGFE,Sapna Paneru,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,2127.0,8190.0,Yes,1,75,4287,Product dissatisfaction,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,42,No,No,No,0,Offer E,1005.0,27,No,No,Yes,262.2,0,4020.0,11947.8,1,Churned,75,Dissatisfaction
3445-HXXGF,Paresh Deuba,Male,1,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cash,1359.0,79536.0,Yes,1,100,5444,Service dissatisfaction,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,66,No,Yes,Yes,6,Offer B,0.0,24,No,No,Yes,1228.5,0,0.0,78307.5,1,Churned,91,Dissatisfaction
1875-QIVME,Lalita Upadhyaya,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3132.0,7284.0,Yes,1,83,4690,Lack of self-service on Website,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,26,Yes,Yes,Yes,1,Offer E,345.3,53,Yes,Yes,Yes,1363.1999999999998,0,690.6,6611.4,3,Churned,83,Attitude
0691-JVSYA,Saru Chaturvedi,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mobile Banking,2845.5,150006.0,Yes,1,80,4328,Network reliability,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,24,Yes,Yes,Yes,5,None,1218.6,73,Yes,No,Yes,556.5,0,64585.8,214035.3,1,Churned,80,Competitor
2656-FMOKZ,Utisha Manandhar,Female,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,eSewa,2233.5,34371.0,Yes,1,99,5717,Limited range of services,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,70,No,No,No,0,Offer D,1322.1,19,No,No,Yes,0.0,0,19831.5,54202.5,2,Churned,91,Dissatisfaction
2070-FNEXE,Shruti Moktan,Female,1,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mobile Banking,2293.5,15108.0,Yes,1,81,4419,Lack of affordable download/upload speed,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,77,No,No,No,0,Offer E,808.5,18,No,No,No,331.5,0,5659.5,20436.0,2,Churned,81,Price
6317-YPKDH,Hansika Lamsal,Female,0,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mobile Banking,898.5,898.5,Yes,1,95,4534,Long distance charges,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,54,No,No,No,0,Offer E,0.0,27,No,No,Yes,0.0,0,0.0,898.5,1,Churned,95,Competitor
9367-WXLCH,Nanda Rai,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mobile Banking,2535.0,19879.5,Yes,1,86,2152,Extra data charges,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,51,No,No,No,0,Offer E,771.9,19,Yes,No,Yes,996.3000000000001,0,6175.2,25058.399999999998,2,Churned,86,Price
1918-ZBFQJ,Sweata Pokhrel,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Cash,2377.5,33349.5,Yes,1,73,5142,Price too high,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,48,No,No,No,0,None,1006.1999999999999,76,No,No,Yes,1447.5,0,13080.599999999999,44982.600000000006,1,Churned,73,Competitor
1024-GUALD,Chetana Ghimire,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cash,744.0,744.0,Yes,1,94,4851,Product dissatisfaction,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,29,Yes,Yes,Yes,4,Offer E,0.0,29,Yes,No,Yes,0.0,0,0.0,744.0,1,Churned,94,Dissatisfaction
2472-OVKUP,Nitish Karn,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cash,2730.0,15930.0,Yes,1,94,2283,Service dissatisfaction,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,39,No,Yes,Yes,5,None,1262.3999999999999,29,Yes,No,Yes,0.0,0,7574.4,23504.4,2,Churned,94,Dissatisfaction
1285-OKIPP,Nischay Shakya,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Cash,2397.0,2397.0,Yes,1,98,3394,Lack of self-service on Website,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,62,No,No,No,0,None,696.0,21,Yes,No,Yes,0.0,0,696.0,3093.0,2,Churned,91,Attitude
7825-ECJRF,Sujeeta Khadgi,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3198.0,58033.5,Yes,1,71,3764,Network reliability,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,43,No,No,No,0,None,850.5,19,Yes,Yes,No,651.5999999999999,1200,16159.5,74741.40000000001,1,Churned,71,Dissatisfaction
7841-TZDMQ,Sanju Deuba,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1380.0,2535.0,Yes,1,76,2667,Don't know,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,19,Yes,No,No,0,None,1494.3000000000002,41,Yes,No,Yes,0.0,0,2988.6000000000004,5523.6,3,Churned,76,Other
9408-SSNVZ,Manmaya Mishra,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2104.5,8050.500000000001,Yes,1,67,2227,Don't know,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,39,No,No,No,0,None,882.0,17,No,No,Yes,650.7,0,3528.0,10927.8,2,Churned,67,Other
0742-MOABM,Nitish Mahara,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,eSewa,1501.5,5380.5,Yes,1,82,3394,Don't know,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,50,No,Yes,Yes,2,None,290.1,22,No,Yes,Yes,0.0,0,1160.4,6540.9,2,Churned,82,Competitor
2232-DMLXU,Trishana Bastola,Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,eSewa,1656.0,1656.0,Yes,1,81,3638,Poor expertise of online support,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,22,Yes,Yes,No,0,None,1068.0,58,Yes,No,Yes,0.0,0,1068.0,2724.0,2,Churned,81,Dissatisfaction
8937-RDTHP,Nitish Mishra,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,eSewa,2538.0,2538.0,Yes,1,66,2484,Poor expertise of phone support,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,40,No,No,No,0,None,805.5,11,Yes,No,Yes,0.0,0,805.5,3343.5,2,Churned,66,Dissatisfaction
1251-KRREG,Lekh Tuladhar,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,eSewa,1632.0,3423.0,Yes,1,81,2556,Price too high,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,22,Yes,No,No,0,None,1329.3000000000002,73,Yes,No,Yes,0.0,0,2658.6000000000004,6081.6,3,Churned,81,Price
0094-OIFMO,Krithya Samal,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cash,2850.0,33609.0,Yes,1,85,5980,Product dissatisfaction,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,78,No,No,No,0,Offer D,347.7,29,No,No,No,0.0,3600,3824.7,41033.7,1,Churned,85,Dissatisfaction
9947-OTFQU,Neel Danwar,Male,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cash,2232.0,32229.0,Yes,1,86,4616,Service dissatisfaction,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,65,No,No,No,0,Offer D,873.3,29,No,No,Yes,0.0,0,13099.5,45328.49999999999,1,Churned,86,Competitor
0322-YINQP,Uttam Dangol,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,eSewa,1456.5,1456.5,Yes,1,77,5687,Lack of self-service on Website,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,37,No,No,No,0,None,340.5,9,No,No,Yes,0.0,0,340.5,1797.0,1,Churned,77,Attitude
4629-NRXKX,Jasmine Pariyar,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cash,2112.0,4414.5,Yes,1,75,5687,Network reliability,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,47,No,Yes,Yes,1,None,1386.8999999999999,21,No,No,Yes,0.0,0,2773.7999999999997,7188.3,1,Churned,75,Dissatisfaction
9514-JDSKI,Nirmal Rajput,Male,1,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Cash,1206.0,1206.0,Yes,1,65,5828,Limited range of services,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,77,No,Yes,Yes,1,Offer E,0.0,12,No,No,Yes,0.0,0,0.0,1206.0,2,Churned,65,Dissatisfaction
4959-JOSRX,Ana Subba,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1338.0,2416.5,Yes,1,99,4884,Lack of affordable download/upload speed,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,41,No,Yes,Yes,3,Offer E,905.7,16,No,No,Yes,0.0,0,1811.4,4227.900000000001,2,Churned,91,Price
7273-TEFQD,Kabir Phuyal,Male,1,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,1234.5,3965.9999999999995,Yes,1,96,2314,Long distance charges,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,67,No,No,No,0,Offer E,0.0,28,Yes,No,Yes,0.0,0,0.0,3965.9999999999995,2,Churned,96,Price
